,f_i_curve_slope,fast_trough_t_long_square,fast_trough_t_short_square,fast_trough_v_long_square,fast_trough_v_short_square,has_burst,has_delay,has_pause,input_resistance_mohm,latency,peak_t_long_square,peak_t_short_square,peak_v_long_square,peak_v_short_square,ri,sag,specimen_id,tau,threshold_i_long_square,threshold_i_short_square,threshold_t_long_square,threshold_t_short_square,threshold_v_long_square,threshold_v_short_square,trough_t_long_square,trough_t_short_square,trough_v_long_square,trough_v_short_square,upstroke_downstroke_ratio_long_square,upstroke_downstroke_ratio_short_square,vrest,species,cre_line,dendrite_type,e-type,m-type,me-type,upright_angle,soma_distance_from_pia,estimated_shrinkage_factor,estimated_slice_angle
56,0.22214467925846398,1.126865,1.02546375,-43.656253814697294,-46.8437528610229,False,False,False,132.65108,0.0490000000000002,1.124815,1.0235475,26.1875019073486,25.0078129768372,197.812542319298,0.024099737405777002,478499902,22.8412526885359,90.0,920.0,1.124285,1.02311625,-39.1875038146973,-34.125001430511496,1.137835,1.6290325,-44.28125,-82.28906440734859,3.2999292533846,2.8606385868608397,-81.92041015625,Mus musculus,Rorb-IRES2-Cre,spiny,Exc_3,Spiny_2,ME_Exc_15,132.590206286597,370.665883960072,2.36330979719,12.9363977619
59,0.129997309118334,1.035295,1.0255125,-51.968753814697294,-52.93229357401529,False,False,False,281.62438399999996,0.005220000000000001,1.033185,1.02347083333333,31.0,34.270833969116204,100.000038743019,0.0120830200612545,478586295,8.48381375018388,140.0,260.0,1.032705,1.02302833333333,-42.65625,-46.442710240682004,1.0356049999999999,1.049555,-52.25,-59.432294845581104,2.7462963643666805,3.00036067777369,-57.3023872375488,Mus musculus,Rorb-IRES2-Cre,spiny,Exc_1,Spiny_12,ME_Exc_3,216.830622652834,558.334102295993,3.46344335538,14.1728263102
66,1.74097222222222,1.0320799999999999,1.023784,-65.78125,-64.2562530517578,False,False,False,220.59136,0.00582000000000016,1.03152,1.02324,14.6875009536743,21.3187507629395,98.9955067634583,0.0657196864485741,510715606,8.684576559948571,330.0,336.0,1.0312,1.0229840000000001,-37.5937538146973,-48.34375152587889,1.0321200000000001,1.177052,-65.9062576293945,-76.2125061035156,1.08527928622308,1.33184309755992,-74.5770797729492,Mus musculus,Pvalb-IRES-Cre,aspiny,Inh_11,Aspiny_9,ME_Inh_13,192.464695659027,448.954062747447,3.49507543871,2.88018219741
67,1.028125,1.02778,1.023896,-60.625,-61.1375038146973,False,False,False,138.88214399999998,0.00561999999999996,1.02722,1.023292,24.125,24.0000011444092,94.99999880790709,0.024973226711153998,569723367,6.44237645270025,310.0,450.0,1.02694,1.023032,-37.25,-43.631251525878895,1.0278200000000002,1.4578520000000001,-60.750003814697294,-64.2000015258789,1.26786733896956,1.33843235710778,-62.790828704834006,Mus musculus,Pvalb-IRES-Cre,aspiny,Inh_9,Aspiny_8,ME_Inh_8,165.961964496557,445.32694673239,3.24205257127,2.62293571806
84,0.159665089188205,1.202305,1.0252059999999998,-46.062503814697294,-49.1562522888184,False,False,False,182.719216,0.0643450000000001,1.1996850000000001,1.023385,46.03125,45.0875022888184,233.281329274178,0.118305526673794,485837504,30.4840765486026,50.0,800.0,1.199225,1.022991,-37.40625,-44.7500022888184,1.275735,1.568509,-55.687503814697294,-74.4437561035156,3.6236248732957703,3.95198373464481,-73.0314865112305,Mus musculus,Rorb-IRES2-Cre,spiny,Exc_3,Spiny_8,ME_Exc_13,207.293423107521,485.338265810193,4.51263537906,12.7051403410999
87,0.0673180676064353,1.315345,1.0254125,-43.53125,-47.6484403610229,False,False,False,87.846744,0.0829950000000002,1.311885,1.02338875,37.34375,41.3281278610229,115.15629291534401,0.12675067782402002,479010903,23.2004952143092,130.0,1370.0,1.311405,1.0229725,-36.3437538146973,-50.742189407348604,1.39283,1.176775,-56.593753814697294,-76.8515663146973,3.6408216837790697,3.95216694895223,-76.3922119140625,Mus musculus,Pvalb-IRES-Cre,spiny,Exc_3,Spiny_5,ME_Exc_20,301.125094376879,573.190726732882,2.74399460503,3.24431361952
93,0.15942931350317002,1.21119,1.025255,-43.125003814697294,-45.093751907348604,False,False,False,107.266272,0.0621700000000001,1.207475,1.0233925,35.6875038146973,38.2578144073486,91.25000238418579,0.0420052446424961,471141261,14.5823818028995,209.99998474121102,1330.0,1.207025,1.0230275,-39.71875,-47.000001907348604,1.252915,1.55397875,-52.531253814697294,-78.8359413146973,3.92781554389551,3.8818498907181205,-78.792106628418,Mus musculus,Rbp4-Cre_KL100,spiny,Exc_3,Spiny_11,ME_Exc_6,133.515523599454,627.755205089207,1.8633008001,17.4476013497
98,0.20573770491803303,1.07379,1.02533166666667,-50.750003814697294,-53.5000012715658,False,False,False,285.755872,0.0218850000000002,1.071875,1.023495,26.84375,30.072917302449497,267.96874403953603,0.16237710416317,314900022,26.099363769708802,50.0,410.0,1.07138,1.02308666666667,-41.6562538146973,-46.9270846048991,1.080365,1.27025666666667,-51.6875,-73.71875,2.62868207709795,2.8628917349491503,-73.1547622680664,Mus musculus,Scnn1a-Tg3-Cre,spiny,Exc_3,Spiny_7,ME_Exc_17,201.710075418404,415.799293726531,3.2956446788,23.0568515371999
99,0.173333345316877,1.4298600000000001,1.02652,-50.71875,-53.656253814697294,False,False,False,117.54753600000001,0.0704200000000001,1.42574,1.02348,35.34375,30.6562519073486,150.468826293945,0.0630087703466415,512322162,18.7585611336417,110.0,830.0,1.42524,1.02306,-43.906253814697294,-41.71875,1.4677799999999999,1.5361200000000002,-58.406253814697294,-75.2500076293945,4.76141683234494,3.90644355857511,-74.7002639770508,Mus musculus,Ctgf-T2A-dgCre,spiny,Exc_3,Spiny_19,ME_Exc_9,161.266492360922,1181.31896256888,2.02048250438,-15.1124250707999
100,0.41309525744985,1.155535,1.026,-58.15625,-67.0104192097982,False,False,False,220.36152,0.0489250000000001,1.1539,1.02349166666667,0.84375,0.4270833333333329,181.874960660934,0.12472644448280301,313862167,12.185558878206999,130.0,670.0,1.1535,1.02318166666667,-36.46875,-38.9739596048991,1.15704,1.2112100000000001,-58.6875,-81.1145858764648,1.66391321202204,1.7151178264887101,-79.63563537597659,Mus musculus,Sst-IRES-Cre,aspiny,Inh_13,Aspiny_1,ME_Inh_15,119.629704922695,408.467273222669,2.03059939232999,-21.2132685127
101,0.824418619462381,1.0523200000000001,1.0244520000000001,-51.031253814697294,-48.96250381469729,False,False,False,205.226976,0.016059999999999998,1.05138,1.02336,24.53125,20.8562511444092,130.312457680702,0.0353870913386345,585832440,7.1407747828677905,160.0,560.0,1.05102,1.02302,-36.5625038146973,-40.4187530517578,1.0523799999999999,1.806512,-51.156253814697294,-76.00000305175779,1.6821194757918,1.93661433924595,-76.2219161987305,Mus musculus,Slc32a1-T2A-FlpO|Vipr2-IRES2-Cre,aspiny,Inh_11,Aspiny_5,ME_Inh_21,184.742219972017,148.566018305063,2.43967213595,6.91437177215
103,0.22391304347826102,1.25394,1.024584,-48.5625,-55.537503051757795,False,False,False,321.10841600000003,0.0402200000000001,1.25092,1.022812,44.125,43.562503051757794,217.187687754631,0.0523097552359104,502999078,25.878315802319797,50.0,600.0,1.25048,1.02244,-33.6875038146973,-44.6812515258789,1.27852,1.558484,-56.46875,-69.5125045776367,3.8047895317466702,4.17296804038893,-70.78517150878909,Mus musculus,Cux2-CreERT2,spiny,Exc_3,Spiny_4,ME_Exc_17,215.146483515953,466.096591914275,6.45207673916,19.0542118324
105,0.9103723302811341,1.06856,1.02420666666667,-59.718753814697294,-63.213544845581104,False,False,False,213.303104,0.01366,1.0677,1.02337333333333,23.0,24.156250953674302,167.812466621399,0.0593033358454704,573404307,14.7049568732739,210.0,479.99996948242205,1.06734,1.02307333333333,-28.5625019073486,-39.458333969116204,1.06856,1.19165,-59.718753814697294,-68.19270960489911,1.24471551391716,1.4719892533713401,-67.6666793823242,Mus musculus,Vipr2-IRES2-Cre,aspiny,Inh_8,Aspiny_12,ME_Inh_9,146.171255896027,765.421033514302,2.98335712916,10.3318277747
107,0.239350180505415,1.07479,1.0246309999999998,-46.4375,-53.70625305175779,False,False,False,104.156048,0.0270600000000001,1.0729950000000001,1.0232649999999999,36.375,40.512501525878896,162.812381982803,0.116804018616676,476049169,19.4287140851224,150.0,378.0,1.07259,1.022924,-34.625,-46.3312522888184,1.08444,1.804775,-49.21875,-75.01875152587891,2.76146199121735,2.85398766644662,-73.9795761108398,Mus musculus,Rorb-IRES2-Cre,spiny,Exc_3,Spiny_18,ME_Exc_2,177.690380906339,731.900036744129,2.13438971395,2.54145565097
114,0.186829278533363,1.15678,1.0250620000000001,-47.281253814697294,-52.812503814697294,False,False,False,141.152544,0.0297050000000001,1.154755,1.023392,46.03125,46.9062522888184,136.718794703484,0.0877228975296021,480351780,15.961171990068701,70.0,540.0,1.15435,1.0230549999999998,-37.3750038146973,-45.231252288818396,1.18777,1.08181,-53.781253814697294,-61.975001525878895,3.5390984522912596,3.56616982370624,-61.491153717040994,Mus musculus,Rorb-IRES2-Cre,spiny,Exc_4,Spiny_12,ME_Exc_1,137.44999579237,610.458306124745,2.07986688852,11.3084024485999
118,0.918721824656996,1.9506400000000002,1.02415333333333,-66.2500076293945,-67.8437525431315,False,False,False,154.09152,0.0109600000000001,1.94996,1.0234,27.8437519073486,29.239585240682,81.5624594688416,0.0451145321130753,580162374,5.8011051201627195,330.0,630.0,1.94964,1.02311333333333,-36.5000038146973,-49.2604192097982,1.9506599999999998,1.6025133333333301,-66.28125,-78.687505086263,1.2958363718827601,1.48838959254214,-77.62200927734379,Mus musculus,Htr3a-Cre_NO152|Pvalb-T2A-Dre,aspiny,Inh_12,Aspiny_19,ME_Inh_9,200.193299440905,895.072651747411,2.62483726009,30.0468470292999
120,0.172321437682424,1.1296899999999999,1.02522375,-53.03125,-52.968751907348604,False,False,False,176.9292,0.04582,1.12778,1.02349125,33.15625,35.921875953674295,123.281359672546,0.0316939763724804,386049446,12.702652830899801,110.0,840.0,1.12727,1.0230625,-45.28125,-46.203125953674295,1.175875,1.7255099999999999,-59.09375,-84.7109375,3.52442479462201,3.5490370040271095,-85.1570739746094,Mus musculus,Nr5a1-Cre,spiny,Exc_3,Spiny_3,ME_Exc_17,167.452107085799,348.200727443323,3.48416391305,8.11875793338
121,0.0526760563380282,1.085835,1.0250025,-46.03125,-48.570314407348604,False,False,False,200.678192,0.035925,1.083655,1.0233174999999999,37.0625,41.5078144073486,148.437365889549,0.046664297580719,397353539,16.4843420319355,150.0,900.0,1.08322,1.0229549999999998,-35.03125,-43.828125,1.09986,1.54085,-50.09375,-77.48437690734859,3.6308231028782703,4.17585052515827,-76.7660217285156,Mus musculus,Nr5a1-Cre,spiny,Exc_3,Spiny_4,ME_Exc_16,207.418376411781,322.8928264251,2.5388521311,5.65705857596
131,0.33130844953652,1.0425799999999998,1.02671,-50.906253814697294,-57.506252288818395,False,False,False,338.23046400000004,0.008185000000000109,1.040455,1.023252,28.2812519073486,35.9250022888184,214.843794703484,0.0324125289916992,475585413,9.72543455304331,120.00000762939501,360.0,1.040015,1.0228700000000002,-34.59375,-38.100002288818395,1.043295,1.042814,-51.625003814697294,-66.77500152587889,2.5254074417246097,2.6312543475361805,-65.2329788208008,Mus musculus,Htr3a-Cre_NO152,aspiny,Inh_3,Aspiny_18,ME_Inh_18,155.086807609435,75.487067685398,4.4052530755,-18.2007602645
154,0.28193918095926096,1.11174,1.02492,-50.875,-54.750003814697294,False,False,False,162.64099199999998,0.02484,1.11038,1.02356,34.15625,33.1250038146973,99.2187485098839,0.0159010402858257,501845152,10.0980062674141,150.0,520.0,1.10988,1.02312,-34.3437538146973,-43.500003814697294,1.11182,1.76948,-50.937503814697294,-70.90625,2.0252654600569997,2.17193392505634,-70.6880569458008,Mus musculus,Ctgf-T2A-dgCre,spiny,Exc_3,Spiny_17,ME_Exc_2,100.851139101251,784.337672270621,3.1393789958,-1.33249002928
157,0.30298012232676896,1.1574149999999999,1.02504166666667,-44.5,-52.2968756357829,False,False,False,233.82950400000001,0.0405,1.15487,1.023485,34.0,37.1458346048991,293.437510728836,0.0731709823012352,329550137,34.7774554417562,59.999996185302706,479.999969482,1.154435,1.0231575000000002,-33.8437538146973,-42.4322929382324,1.17474,1.6834458333333302,-50.15625,-66.6927108764648,3.41944095937166,3.31286180605533,-64.6614532470703,Mus musculus,Rorb-IRES2-Cre,spiny,Exc_3,Spiny_4,ME_Exc_17,125.855248463694,447.467112355008,2.28693823593,14.4406690908999
159,0.165981021062662,1.15895,1.025399,-47.000003814697294,-51.9875015258789,False,False,False,116.338568,0.0797600000000001,1.15591,1.023264,34.8125038146973,36.943753814697295,137.96874880790702,0.0681690126657486,488117124,24.2422131145104,130.0,1310.0,1.1554799999999998,1.0228979999999999,-38.03125,-51.100002288818395,1.19906,1.623481,-54.968753814697294,-80.8000030517578,4.19580585904792,4.4510938323077,-79.8806610107422,Mus musculus,Rbp4-Cre_KL100,spiny,Exc_3,Spiny_9,ME_Exc_13,212.016527155075,503.319533361536,3.02334291477,1.30161667032
160,0.7008140373601329,1.06592,1.023874,-59.062503814697294,-60.6281284332275,False,False,False,135.421472,0.01098,1.0652,1.0232940000000001,8.0,26.518751144409197,68.9061731100082,0.00943136960268021,574067499,6.89508215928344,420.0,750.0,1.0648600000000001,1.0230139999999999,-33.3750038146973,-44.0781261444092,1.06598,1.394724,-59.1875,-71.5781265258789,1.01431042509721,1.28097472853639,-71.0417861938477,Mus musculus,Pvalb-IRES-Cre,aspiny,Inh_10,Aspiny_8,ME_Inh_14,133.099178103751,376.099386653538,2.97671443867999,10.5524570302
175,0.13297492320377,1.232035,1.02573125,-52.09375,-53.9453153610229,False,False,False,130.625632,0.05999500000000001,1.22902,1.02345875,45.0,45.9453153610229,156.875044107437,0.0385764725506306,486560376,19.0657315163926,110.0,870.0,1.22858,1.0230549999999998,-44.1875,-48.695316314697294,1.89333,1.68241875,-61.5,-80.82812690734859,4.58670600203569,4.85402070254953,-80.403678894043,Mus musculus,Cux2-CreERT2,spiny,Exc_3,Spiny_2,ME_Exc_16,124.037591320949,355.80669182106,2.39157945374,21.810195768
176,0.6020089553022521,1.1915799999999999,1.023832,-55.531253814697294,-58.92500305175779,False,False,False,86.913328,0.03281,1.1909999999999998,1.02331,11.0000009536743,20.537501144409198,63.2810592651367,0.13688848912715898,485184849,5.42826097305393,330.0,870.0,1.1907450000000002,1.023088,-32.0312538146973,-42.6937507629395,1.1916149999999999,1.160615,-55.687503814697294,-76.2062561035156,1.12619823915282,1.26135484163659,-75.2600326538086,Mus musculus,Pvalb-IRES-Cre,aspiny,Inh_12,Aspiny_8,ME_Inh_10,204.326366752299,302.925607178676,2.52100840335999,11.5304670441
179,0.40233333333333293,1.18036,1.024065,-61.031253814697294,-64.5546875,False,False,False,254.424752,0.03044,1.17882,1.02265,39.78125,35.5156288146973,276.875048875809,0.16644258797168698,567354967,21.5677393544598,50.0,499.99996948242205,1.1784,1.02229,-44.03125,-45.6250028610229,1.18086,1.819275,-61.312503814697294,-71.50781822204591,2.7763813868172402,2.6673742535519103,-70.8718795776367,Mus musculus,Chrna2-Cre_OE25,sparsely spiny,Inh_6,Aspiny_2,ME_Inh_24,132.36921434733,721.697888763137,2.57228109888,24.9755342986999
