,predicted dendrite,real dendrite,ephys predicted creline,ephys me-type predictions,ephys m-type predictions,ephys e-type predictions,specimen_id,morph me-type predictions,morph m-type predictions,morph e-type predictions,ephys and morph me-type predictions,ephys and morph m-type predictions,ephys and morph e-type predictions
396,spiny,spiny,Chrna2-Cre_OE25,ME_Exc_7,Spiny_1,Inh_6,528638057,ME_Exc_13,Spiny_14,Exc_3,ME_Exc_13,Spiny_11,Inh_2
397,aspiny,aspiny,Chrna2-Cre_OE25,ME_Exc_7,Spiny_1,Exc_1,539640410,ME_Exc_13,Spiny_14,Inh_6,ME_Exc_13,Spiny_14,Inh_2
398,aspiny,sparsely spiny,Chrna2-Cre_OE25,ME_Exc_5,Spiny_7,Inh_5,611598198,ME_Exc_13,Spiny_14,Exc_3,ME_Exc_5,Spiny_14,Inh_5
399,spiny,spiny,Chrna2-Cre_OE25,ME_Exc_7,Spiny_1,Inh_6,500955009,,,,,,
400,spiny,spiny,Chrna2-Cre_OE25,ME_Exc_7,Spiny_1,Inh_6,488707479,,,,,,
401,aspiny,aspiny,Chrna2-Cre_OE25,ME_Exc_7,Spiny_1,Exc_1,527898222,,,,,,
402,aspiny,aspiny,Chrna2-Cre_OE25,ME_Exc_7,Spiny_1,Exc_1,528002420,,,,,,
403,spiny,spiny,Chrna2-Cre_OE25,ME_Exc_7,Spiny_1,Inh_6,528019077,,,,,,
404,spiny,spiny,Chrna2-Cre_OE25,ME_Exc_7,Spiny_1,Inh_6,519832676,ME_Exc_13,Spiny_14,Inh_6,ME_Exc_13,Spiny_14,Inh_11
405,aspiny,aspiny,Chrna2-Cre_OE25,ME_Exc_7,Spiny_1,Exc_1,596020931,ME_Exc_13,Spiny_14,Inh_6,ME_Exc_13,Spiny_14,Inh_2
406,aspiny,aspiny,Chrna2-Cre_OE25,ME_Exc_7,Spiny_1,Inh_6,542142697,,,,,,
407,spiny,spiny,Chrna2-Cre_OE25,ME_Exc_7,Spiny_1,Inh_6,508420652,,,,,,
408,spiny,spiny,Chrna2-Cre_OE25,ME_Exc_7,Spiny_1,Inh_6,529863215,ME_Exc_13,Spiny_14,Exc_3,ME_Exc_13,Spiny_11,Inh_4
409,aspiny,aspiny,Chrna2-Cre_OE25,ME_Exc_7,Spiny_1,Exc_1,576084692,ME_Exc_13,Spiny_14,Exc_3,ME_Exc_13,Spiny_14,Inh_4
410,aspiny,aspiny,Chrna2-Cre_OE25,ME_Exc_7,Spiny_1,Exc_1,643575207,ME_Exc_13,Spiny_14,Inh_6,ME_Exc_13,Spiny_14,Inh_2
411,spiny,spiny,Chrna2-Cre_OE25,ME_Exc_7,Spiny_1,Inh_6,526785799,ME_Exc_13,Spiny_14,Inh_6,ME_Exc_13,Spiny_14,Inh_11
412,spiny,spiny,Chrna2-Cre_OE25,ME_Exc_7,Spiny_1,Inh_6,520462275,,,,,,
